"","cnames","y","aid"
"822","Cameroon","1986","0.4"
"823","Cape Verde","1986","0.1"
"824","Central African Republic","1986","0.2"
"825","Chad","1986","10.2"
"826","Comoros","1986","0"
"827","Congo (Brazzaville)","1986",
"828","Congo (Kinshasa)","1986","13.7"
"829","Cote d'Ivoire","1986","0.2"
"830","Djibouti","1986","3.5"
"831","Equatorial Guinea","1986","1.8"
"832","Eritrea","1986",
"833","Ethiopia","1986",
"834","Gabon","1986","0.3"
"835","Gambia, The","1986","0.1"
"836","Ghana","1986","0.4"
"837","Guinea","1986","3.6"
"838","Guinea-Bissau","1986",
"839","Kenya","1986","35.6"
"840","Lesotho","1986",
"841","Liberia","1986","9.7"
"842","Madagascar","1986","2.6"
"843","Malawi","1986","2"
"844","Mali","1986","0.3"
"845","Mauritania","1986","0.1"
"846","Mauritius","1986",
"847","Mozambique","1986",
"848","Namibia","1986",
"849","Niger","1986","7"
"850","Nigeria","1986","0.2"
"851","Rwanda","1986","0.1"
"852","Sao Tome & Principe","1986","0.1"
"853","Senegal","1986","5.7"
"854","Seychelles","1986","0"
"855","Sierra Leone","1986","0.1"
"856","Somalia","1986","34.8"
"857","South Africa","1986",
"858","Sudan","1986","29.3"
"859","Swaziland","1986","0.1"
"860","Tanzania","1986",
"861","Togo","1986","0.1"
"862","Uganda","1986",
"863","Zambia","1986",
"864","Zimbabwe","1986","0.3"
"865","Angola","1987",
"866","Benin","1987","0.1"
"867","Botswana","1987","3.1"
"868","Burkina Faso","1987","0.1"
"869","Burundi","1987","0.2"
"870","Cameroon","1987","1.3"
"871","Cape Verde","1987","0.1"
"872","Central African Republic","1987","1.1"
"873","Chad","1987","15.6"
"874","Comoros","1987","0"
"875","Congo (Brazzaville)","1987","0"
"876","Congo (Kinshasa)","1987","8.9"
"877","Cote d'Ivoire","1987","0.3"
"878","Djibouti","1987","2.3"
"879","Equatorial Guinea","1987","0.2"
"880","Eritrea","1987",
"881","Ethiopia","1987",
"882","Gabon","1987","0.2"
"883","Gambia, The","1987","0.1"
"884","Ghana","1987","0.4"
"885","Guinea","1987","2"
"886","Guinea-Bissau","1987","0.1"
"887","Kenya","1987","19.4"
"888","Lesotho","1987","0.1"
"889","Liberia","1987","2.3"
"890","Madagascar","1987","1"
"891","Malawi","1987","1.1"
"892","Mali","1987","0.3"
"893","Mauritania","1987","0.2"
"894","Mauritius","1987",
"895","Mozambique","1987",
"896","Namibia","1987",
"897","Niger","1987","3"
"898","Nigeria","1987","0.2"
"899","Rwanda","1987","0.2"
"900","Sao Tome & Principe","1987","0.1"
"901","Senegal","1987","3.5"
"902","Seychelles","1987","0"
"903","Sierra Leone","1987","0.1"
"904","Somalia","1987","13.7"
"905","South Africa","1987",
"906","Sudan","1987","10"
"907","Swaziland","1987","0.1"
"908","Tanzania","1987",
"909","Togo","1987","0.1"
"910","Uganda","1987","0.2"
"911","Zambia","1987",
"912","Zimbabwe","1987","0.3"
"913","Angola","1988",
"914","Benin","1988","0.1"
"915","Botswana","1988","0.5"
"916","Burkina Faso","1988","0.1"
"917","Burundi","1988","0.2"
"918","Cameroon","1988","0.4"
"919","Cape Verde","1988","0.1"
"920","Central African Republic","1988","0.2"
"921","Chad","1988","9.3"
"922","Comoros","1988","0.1"
"923","Congo (Brazzaville)","1988","0.1"
"924","Congo (Kinshasa)","1988","6.6"
"925","Cote d'Ivoire","1988","0.2"
"926","Djibouti","1988","1.8"
"927","Equatorial Guinea","1988","0.1"
"928","Eritrea","1988",
"929","Ethiopia","1988",
"930","Gabon","1988","0.2"
"931","Gambia, The","1988","0.1"
"932","Ghana","1988","0.4"
"933","Guinea","1988","0.2"
"934","Guinea-Bissau","1988","0.1"
"935","Kenya","1988","10.1"
"936","Lesotho","1988","0.1"
"937","Liberia","1988","0.8"
