"","cnames","y","aid"
"1563","Malawi","2001","0.5"
"1564","Mali","2001","0.7"
"1565","Mauritania","2001","0.1"
"1566","Mauritius","2001","0.1"
"1567","Mozambique","2001","0.2"
"1568","Namibia","2001","0.2"
"1569","Niger","2001","0.1"
"1570","Nigeria","2001","19.4"
"1571","Rwanda","2001",
"1572","Sao Tome & Principe","2001","0.1"
"1573","Senegal","2001","4.5"
"1574","Seychelles","2001","0.1"
"1575","Sierra Leone","2001","0.2"
"1576","Somalia","2001",
"1577","South Africa","2001","2.6"
"1578","Sudan","2001",
"1579","Swaziland","2001","0.1"
"1580","Tanzania","2001","0.3"
"1581","Togo","2001","0.1"
"1582","Uganda","2001",
"1583","Zambia","2001","0.8"
"1584","Zimbabwe","2001",
"1585","Angola","2002",
"1586","Benin","2002","0.6"
"1587","Botswana","2002","2"
"1588","Burkina Faso","2002",
"1589","Burundi","2002",
"1590","Cameroon","2002","0.2"
"1591","Cape Verde","2002","0.2"
"1592","Central African Republic","2002","0.2"
"1593","Chad","2002","0.3"
"1594","Comoros","2002",
"1595","Congo (Brazzaville)","2002","0.2"
"1596","Congo (Kinshasa)","2002",
"1597","Cote d'Ivoire","2002",
"1598","Djibouti","2002","2"
"1599","Equatorial Guinea","2002",
"1600","Eritrea","2002","0.4"
"1601","Ethiopia","2002","3.8"
"1602","Gabon","2002","0.2"
"1603","Gambia, The","2002","0.1"
"1604","Ghana","2002","1.8"
"1605","Guinea","2002","0.3"
"1606","Guinea-Bissau","2002","0.1"
"1607","Kenya","2002","18.2"
"1608","Lesotho","2002","0.1"
"1609","Liberia","2002",
"1610","Madagascar","2002","0.2"
"1611","Malawi","2002","0.5"
"1612","Mali","2002","0.4"
"1613","Mauritania","2002","0.2"
"1614","Mauritius","2002","0.1"
"1615","Mozambique","2002","0.2"
"1616","Namibia","2002","0.2"
"1617","Niger","2002","0.2"
"1618","Nigeria","2002","7.9"
"1619","Rwanda","2002",
"1620","Sao Tome & Principe","2002","0.1"
"1621","Senegal","2002","3"
"1622","Seychelles","2002","0"
"1623","Sierra Leone","2002","0.2"
"1624","Somalia","2002",
"1625","South Africa","2002","9.6"
"1626","Sudan","2002",
"1627","Swaziland","2002","0.1"
"1628","Tanzania","2002","0.3"
"1629","Togo","2002","0.1"
"1630","Uganda","2002",
"1631","Zambia","2002","0.2"
"1632","Zimbabwe","2002",
"1633","Angola","2003","0.3"
"1634","Benin","2003","0.4"
"1635","Botswana","2003","1.7"
"1636","Burkina Faso","2003",
"1637","Burundi","2003",
"1638","Cameroon","2003","0.5"
"1639","Cape Verde","2003","0.2"
"1640","Central African Republic","2003","0"
"1641","Chad","2003","0.3"
"1642","Comoros","2003",
"1643","Congo (Brazzaville)","2003","0.1"
"1644","Congo (Kinshasa)","2003",
"1645","Cote d'Ivoire","2003",
"1646","Djibouti","2003","15.6"
"1647","Equatorial Guinea","2003",
"1648","Eritrea","2003","0.4"
"1649","Ethiopia","2003","5.2"
"1650","Gabon","2003","0.3"
"1651","Gambia, The","2003","0.1"
"1652","Ghana","2003","1.8"
"1653","Guinea","2003","0.2"
"1654","Guinea-Bissau","2003","0.1"
"1655","Kenya","2003","2.4"
"1656","Lesotho","2003","0.1"
"1657","Liberia","2003",
"1658","Madagascar","2003","0.2"
"1659","Malawi","2003","0.4"
"1660","Mali","2003","0.4"
"1661","Mauritania","2003","0.2"
"1662","Mauritius","2003","0.1"
"1663","Mozambique","2003","0.3"
"1664","Namibia","2003","0.2"
"1665","Niger","2003","0.1"
"1666","Nigeria","2003","0.1"
"1667","Rwanda","2003","0.2"
"1668","Sao Tome & Principe","2003","0.8"
"1669","Senegal","2003","3.3"
"1670","Seychelles","2003","0.1"
"1671","Sierra Leone","2003","0.4"
"1672","Somalia","2003",
"1673","South Africa","2003","8.3"
"1674","Sudan","2003",
"1675","Swaziland","2003","0.1"
"1676","Tanzania","2003","0.2"
"1677","Togo","2003","0.2"
"1678","Uganda","2003","1.3"
"1679","Zambia","2003","0.4"
"1680","Zimbabwe","2003",
"1681","Angola","2004","0.6"
"1682","Benin","2004",
"1683","Botswana","2004","1.6"
"1684","Burkina Faso","2004","0.1"
"1685","Burundi","2004",
"1686","Cameroon","2004","0.4"
"1687","Cape Verde","2004","0.2"
"1688","Central African Republic","2004",
"1689","Chad","2004","0.6"
"1690","Comoros","2004","0.1"
"1691","Congo (Brazzaville)","2004","0"
"1692","Congo (Kinshasa)","2004","0.4"
"1693","Cote d'Ivoire","2004",
"1694","Djibouti","2004","7.9"
"1695","Equatorial Guinea","2004",
"1696","Eritrea","2004","0.3"
"1697","Ethiopia","2004","3.4"
"1698","Gabon","2004","0.3"
"1699","Gambia, The","2004","0.2"
"1700","Ghana","2004","1.9"
"1701","Guinea","2004","0.5"
"1702","Guinea-Bissau","2004",
"1703","Kenya","2004","10.4"
"1704","Lesotho","2004",
"1705","Liberia","2004",
"1706","Madagascar","2004","0.4"
"1707","Malawi","2004","0.5"
"1708","Mali","2004",
"1709","Mauritania","2004","0.3"
"1710","Mauritius","2004","0.2"
"1711","Mozambique","2004","0.3"
"1712","Namibia","2004",
"1713","Niger","2004",
"1714","Nigeria","2004",
"1715","Rwanda","2004","0.3"
"1716","Sao Tome & Principe","2004","0.2"
"1717","Senegal","2004","2.4"
"1718","Seychelles","2004","0.1"
"1719","Sierra Leone","2004","0.8"
"1720","Somalia","2004",
"1721","South Africa","2004",
"1722","Sudan","2004","5.6"
"1723","Swaziland","2004","0.1"
"1724","Tanzania","2004",
"1725","Togo","2004","0.5"
"1726","Uganda","2004","3"
"1727","Zambia","2004","0.5"
"1728","Zimbabwe","2004",
"1729","Angola","2005","0.3"
"1730","Benin","2005",
"1731","Botswana","2005","1.3"
"1732","Burkina Faso","2005","0.1"
"1733","Burundi","2005",
"1734","Cameroon","2005","0.5"
"1735","Cape Verde","2005","0.2"
"1736","Central African Republic","2005",
"1737","Chad","2005","2.9"
"1738","Comoros","2005","0.6"
"1739","Congo (Brazzaville)","2005","0.2"
"1740","Congo (Kinshasa)","2005","0.4"
"1741","Cote d'Ivoire","2005",
"1742","Djibouti","2005","5.1"
"1743","Equatorial Guinea","2005",
"1744","Eritrea","2005","0.3"
"1745","Ethiopia","2005","8.3"
"1746","Gabon","2005","0.5"
"1747","Gambia, The","2005","0.2"
"1748","Ghana","2005","1.5"
"1749","Guinea","2005","0.6"
"1750","Guinea-Bissau","2005","0.1"
"1751","Kenya","2005","4.3"
"1752","Lesotho","2005",
"1753","Liberia","2005","30.4"
"1754","Madagascar","2005","1.3"
"1755","Malawi","2005","0.6"
"1756","Mali","2005",
"1757","Mauritania","2005","0.1"
"1758","Mauritius","2005","0.1"
"1759","Mozambique","2005","0.9"
"1760","Namibia","2005",
"1761","Niger","2005",
"1762","Nigeria","2005","1.4"
"1763","Rwanda","2005","8.2"
"1764","Sao Tome & Principe","2005","0.2"
"1765","Senegal","2005","1.9"
"1766","Seychelles","2005","4.6"
"1767","Sierra Leone","2005","0.3"
"1768","Somalia","2005","4.2"
"1769","South Africa","2005",
"1770","Sudan","2005","171.1"
"1771","Swaziland","2005","0.3"
"1772","Tanzania","2005","3.4"
"1773","Togo","2005","0"
"1774","Uganda","2005","2.5"
"1775","Zambia","2005","0.4"
"1776","Zimbabwe","2005",
"1777","Angola","2006","0.7"
"1778","Benin","2006","0.4"
"1779","Botswana","2006","0.8"
"1780","Burkina Faso","2006","0.1"
"1781","Burundi","2006","0.5"
"1782","Cameroon","2006","0.5"
"1783","Cape Verde","2006","0.3"
"1784","Central African Republic","2006","0.1"
"1785","Chad","2006","0.5"
"1786","Comoros","2006","0.6"
"1787","Congo (Brazzaville)","2006","0.3"
"1788","Congo (Kinshasa)","2006","0.4"
"1789","Cote d'Ivoire","2006",
"1790","Djibouti","2006","4.6"
"1791","Equatorial Guinea","2006",
"1792","Eritrea","2006",
"1793","Ethiopia","2006","2.7"
"1794","Gabon","2006","0.6"
"1795","Gambia, The","2006","0.1"
"1796","Ghana","2006","1.4"
"1797","Guinea","2006","0.6"
"1798","Guinea-Bissau","2006","0.1"
"1799","Kenya","2006",
"1800","Lesotho","2006","0.1"
"1801","Liberia","2006","23.5"
"1802","Madagascar","2006","0.8"
"1803","Malawi","2006","0.6"
"1804","Mali","2006",
"1805","Mauritania","2006",
"1806","Mauritius","2006","0.4"
"1807","Mozambique","2006","0.9"
"1808","Namibia","2006",
"1809","Niger","2006",
"1810","Nigeria","2006","2.1"
"1811","Rwanda","2006","0.3"
"1812","Sao Tome & Principe","2006","0.4"
"1813","Senegal","2006","1.9"
"1814","Seychelles","2006","0.4"
"1815","Sierra Leone","2006","0.4"
"1816","Somalia","2006",
"1817","South Africa","2006",
"1818","Sudan","2006","157.6"
"1819","Swaziland","2006","0.2"
"1820","Tanzania","2006",
"1821","Togo","2006","0.2"
"1822","Uganda","2006","0.4"
"1823","Zambia","2006","0.3"
"1824","Zimbabwe","2006",
"1825","Angola","2007","0.4"
"1826","Benin","2007","0.4"
"1827","Botswana","2007","0.7"
"1828","Burkina Faso","2007","0.2"
"1829","Burundi","2007","0.3"
"1830","Cameroon","2007","0.4"
"1831","Cape Verde","2007","0.4"
"1832","Central African Republic","2007","0.3"
"1833","Chad","2007","0.4"
"1834","Comoros","2007","0.1"
"1835","Congo (Brazzaville)","2007","0.4"
"1836","Congo (Kinshasa)","2007","6.2"
"1837","Cote d'Ivoire","2007",
"1838","Djibouti","2007","4.2"
"1839","Equatorial Guinea","2007",
"1840","Eritrea","2007",
"1841","Ethiopia","2007","2.4"
"1842","Gabon","2007","0.6"
"1843","Gambia, The","2007","0.1"
"1844","Ghana","2007","1.6"
"1845","Guinea","2007","0.5"
"1846","Guinea-Bissau","2007","0.1"
"1847","Kenya","2007","0"
"1848","Lesotho","2007","0.1"
"1849","Liberia","2007","56.9"
"1850","Madagascar","2007","0.4"
"1851","Malawi","2007","0.5"
"1852","Mali","2007","0.1"
"1853","Mauritania","2007","0.2"
"1854","Mauritius","2007","0.3"
"1855","Mozambique","2007","1.1"
"1856","Namibia","2007","0"
"1857","Niger","2007","0.1"
"1858","Nigeria","2007","1.9"
"1859","Rwanda","2007","0.5"
"1860","Sao Tome & Principe","2007","0.2"
"1861","Senegal","2007","2"
"1862","Seychelles","2007","0.2"
"1863","Sierra Leone","2007","0.4"
"1864","Somalia","2007","50.8"
"1865","South Africa","2007","0"
"1866","Sudan","2007","378.9"
"1867","Swaziland","2007","0.3"
"1868","Tanzania","2007","0.1"
"1869","Togo","2007","0.1"
"1870","Uganda","2007","0.4"
"1871","Zambia","2007","0.3"
"1872","Zimbabwe","2007",
"1873","Angola","2008","0.3"
"1874","Benin","2008","0.1"
"1875","Botswana","2008","1"
"1876","Burkina Faso","2008","0.2"
"1877","Burundi","2008","0.3"
"1878","Cameroon","2008","0.3"
"1879","Cape Verde","2008","0.2"
"1880","Central African Republic","2008","0.1"
"1881","Chad","2008","0.2"
"1882","Comoros","2008","1.1"
"1883","Congo (Brazzaville)","2008","0.2"
"1884","Congo (Kinshasa)","2008","6.4"
"1885","Cote d'Ivoire","2008",
"1886","Djibouti","2008","2.3"
"1887","Equatorial Guinea","2008",
"1888","Eritrea","2008",
"1889","Ethiopia","2008","1.4"
"1890","Gabon","2008","0.2"
"1891","Gambia, The","2008","0.1"
"1892","Ghana","2008","0.9"
"1893","Guinea","2008","0.4"
"1894","Guinea-Bissau","2008","0.1"
"1895","Kenya","2008","0.8"
"1896","Lesotho","2008","0.2"
"1897","Liberia","2008","87.6"
"1898","Madagascar","2008","0.4"
"1899","Malawi","2008","0.4"
"1900","Mali","2008","0.2"
"1901","Mauritania","2008","0.1"
"1902","Mauritius","2008","0.1"
"1903","Mozambique","2008","0.3"
"1904","Namibia","2008","0.1"
"1905","Niger","2008","0.1"
"1906","Nigeria","2008","2.2"
"1907","Rwanda","2008","0.4"
"1908","Sao Tome & Principe","2008","0.1"
"1909","Senegal","2008","1.3"
"1910","Seychelles","2008","0.1"
"1911","Sierra Leone","2008","0.4"
"1912","Somalia","2008","48.3"
"1913","South Africa","2008","0.9"
"1914","Sudan","2008","198.8"
"1915","Swaziland","2008","0.2"
"1916","Tanzania","2008","0.3"
"1917","Togo","2008","0.1"
"1918","Uganda","2008","0.6"
"1919","Zambia","2008","0.4"
"1920","Zimbabwe","2008",
"1921","Antigua and Barbuda","1977",
"1922","Argentina","1977","2.1"
"1923","Bahamas, The","1977",
"1924","Barbados","1977",
"1925","Belize","1977",
"1926","Bolivia","1977","9"
"1927","Brazil","1977","0.2"
"1928","Chile","1977",
"1929","Colombia","1977","2"
"1930","Costa Rica","1977","14.5"
"1931","Dominica","1977",
"1932","Dominican Republic","1977","4.5"
"1933","Ecuador","1977","44.6"
"1934","El Salvador","1977","1.6"
"1935","Grenada","1977",
"1936","Guatemala","1977","1.5"
"1937","Guyana","1977",
"1938","Haiti","1977","1.8"
"1939","Honduras","1977","9"
"1940","Jamaica","1977",
"1941","Mexico","1977","0.4"
"1942","Nicaragua","1977","9"
"1943","Panama","1977","9"
"1944","Paraguay","1977","2.2"
"1945","Peru","1977","31.5"
"1946","St. Kitts and Nevis","1977",
"1947","St. Lucia","1977",
"1948","St. Vincent and Grenadines","1977",
"1949","Suriname","1977",
"1950","Trinidad & Tobago","1977",
"1951","Uruguay","1977","0.1"
"1952","Venezuela","1977","0.2"
"1953","Antigua and Barbuda","1978",
"1954","Argentina","1978",
"1955","Bahamas, The","1978",
"1956","Barbados","1978",
"1957","Belize","1978",
"1958","Bolivia","1978","2.3"
"1959","Brazil","1978",
"1960","Chile","1978",
"1961","Colombia","1978","141.5"
"1962","Costa Rica","1978",
"1963","Dominica","1978",
"1964","Dominican Republic","1978","2"
"1965","Ecuador","1978","29.1"
"1966","El Salvador","1978","0.1"
"1967","Grenada","1978",
"1968","Guatemala","1978","0"
"1969","Guyana","1978",
"1970","Haiti","1978","2"
"1971","Honduras","1978","8.7"
"1972","Jamaica","1978",
"1973","Mexico","1978","0.3"
"1974","Nicaragua","1978","1.1"
"1975","Panama","1978","1.4"
"1976","Paraguay","1978","1.7"
"1977","Peru","1978","24.3"
"1978","St. Kitts and Nevis","1978",
"1979","St. Lucia","1978",
"1980","St. Vincent and Grenadines","1978",
"1981","Suriname","1978",
"1982","Trinidad & Tobago","1978",
"1983","Uruguay","1978",
"1984","Venezuela","1978","0.3"
"1985","Antigua and Barbuda","1979",
"1986","Argentina","1979",
"1987","Bahamas, The","1979",
"1988","Barbados","1979","0"
"1989","Belize","1979",
"1990","Bolivia","1979","16.8"
"1991","Brazil","1979",
"1992","Chile","1979",
"1993","Colombia","1979","32.5"
"1994","Costa Rica","1979",
"1995","Dominica","1979",
"1996","Dominican Republic","1979","2.5"
"1997","Ecuador","1979","1.1"
"1998","El Salvador","1979","0"
"1999","Grenada","1979",
"2000","Guatemala","1979","0"
"2001","Guyana","1979",
"2002","Haiti","1979","1"
"2003","Honduras","1979","5.7"
"2004","Jamaica","1979",
"2005","Mexico","1979","0.5"
"2006","Nicaragua","1979","0"
"2007","Panama","1979","3.5"
"2008","Paraguay","1979","0"
"2009","Peru","1979","13.8"
"2010","St. Kitts and Nevis","1979",
"2011","St. Lucia","1979",
"2012","St. Vincent and Grenadines","1979",
"2013","Suriname","1979",
"2014","Trinidad & Tobago","1979",
"2015","Uruguay","1979",
"2016","Venezuela","1979",
"2017","Antigua and Barbuda","1980",
"2018","Argentina","1980",
"2019","Bahamas, The","1980",
"2020","Barbados","1980","0.1"
"2021","Belize","1980",
"2022","Bolivia","1980","0.7"
"2023","Brazil","1980",
"2024","Chile","1980",
"2025","Colombia","1980","0.6"
"2026","Costa Rica","1980",
"2027","Dominica","1980",
"2028","Dominican Republic","1980","8"
"2029","Ecuador","1980","7.5"
"2030","El Salvador","1980","13.7"
"2031","Grenada","1980",
"2032","Guatemala","1980",
"2033","Guyana","1980",
"2034","Haiti","1980","0.3"
"2035","Honduras","1980","9.2"
"2036","Jamaica","1980",
"2037","Mexico","1980","0.3"
"2038","Nicaragua","1980",
"2039","Panama","1980","0.7"
"2040","Paraguay","1980","0"
"2041","Peru","1980","7.6"
"2042","St. Kitts and Nevis","1980",
"2043","St. Lucia","1980",
"2044","St. Vincent and Grenadines","1980",
"2045","Suriname","1980","0.1"
"2046","Trinidad & Tobago","1980",
"2047","Uruguay","1980",
"2048","Venezuela","1980",
"2049","Antigua and Barbuda","1981",
"2050","Argentina","1981",
"2051","Bahamas, The","1981",
"2052","Barbados","1981","0.1"
"2053","Belize","1981",
"2054","Bolivia","1981",
"2055","Brazil","1981",
"2056","Chile","1981",
"2057","Colombia","1981","0.6"
"2058","Costa Rica","1981","0.1"
"2059","Dominica","1981",
"2060","Dominican Republic","1981","7.2"
"2061","Ecuador","1981","9.1"
"2062","El Salvador","1981","74.6"
"2063","Grenada","1981",
"2064","Guatemala","1981",
"2065","Guyana","1981","0.1"
"2066","Haiti","1981","0.9"
"2067","Honduras","1981","18.8"
"2068","Jamaica","1981","3.5"
"2069","Mexico","1981","0.3"
"2070","Nicaragua","1981",
"2071","Panama","1981","0.8"
"2072","Paraguay","1981","0"
"2073","Peru","1981","9.1"
"2074","St. Kitts and Nevis","1981",
"2075","St. Lucia","1981",
"2076","St. Vincent and Grenadines","1981",
"2077","Suriname","1981","0.1"
"2078","Trinidad & Tobago","1981",
"2079","Uruguay","1981",
"2080","Venezuela","1981","0"
"2081","Antigua and Barbuda","1982",
"2082","Argentina","1982",
"2083","Bahamas, The","1982",
"2084","Barbados","1982","0.1"
"2085","Belize","1982","0.1"
"2086","Bolivia","1982",
"2087","Brazil","1982",
"2088","Chile","1982",
"2089","Colombia","1982","20.7"
"2090","Costa Rica","1982","4"
"2091","Dominica","1982",
"2092","Dominican Republic","1982","10.8"
"2093","Ecuador","1982","9.8"
"2094","El Salvador","1982","161.3"
"2095","Grenada","1982",
"2096","Guatemala","1982",
"2097","Guyana","1982","0.1"
"2098","Haiti","1982","1.1"
"2099","Honduras","1982","61.5"
"2100","Jamaica","1982","4.1"
"2101","Mexico","1982","0.3"
"2102","Nicaragua","1982",
"2103","Panama","1982","10.6"
"2104","Paraguay","1982","0"
"2105","Peru","1982","9.8"
"2106","St. Kitts and Nevis","1982",
"2107","St. Lucia","1982",
"2108","St. Vincent and Grenadines","1982",
"2109","Suriname","1982","0"
"2110","Trinidad & Tobago","1982",
"2111","Uruguay","1982","0"
"2112","Venezuela","1982","0.1"
"2113","Antigua and Barbuda","1983",
"2114","Argentina","1983",
"2115","Bahamas, The","1983",
"2116","Barbados","1983",
"2117","Belize","1983","0.1"
"2118","Bolivia","1983",
"2119","Brazil","1983",
"2120","Chile","1983",
"2121","Colombia","1983","1.4"
"2122","Costa Rica","1983","8.7"
"2123","Dominica","1983",
"2124","Dominican Republic","1983","12.4"
"2125","Ecuador","1983","8.7"
"2126","El Salvador","1983","153.2"
"2127","Grenada","1983",
"2128","Guatemala","1983",
"2129","Guyana","1983","0"
"2130","Haiti","1983","1.3"
"2131","Honduras","1983","91"
"2132","Jamaica","1983","6.5"
"2133","Mexico","1983","0.1"
"2134","Nicaragua","1983",
"2135","Panama","1983","10.3"
"2136","Paraguay","1983","0.1"
"2137","Peru","1983","8.6"
"2138","St. Kitts and Nevis","1983",
"2139","St. Lucia","1983",
"2140","St. Vincent and Grenadines","1983",
"2141","Suriname","1983",
"2142","Trinidad & Tobago","1983",
"2143","Uruguay","1983","0.1"
"2144","Venezuela","1983","0.1"
"2145","Antigua and Barbuda","1984",
"2146","Argentina","1984",
"2147","Bahamas, The","1984",
"2148","Barbados","1984","0.1"
"2149","Belize","1984","1"
"2150","Bolivia","1984","0.2"
"2151","Brazil","1984",
"2152","Chile","1984",
"2153","Colombia","1984","45.9"
"2154","Costa Rica","1984","16.6"
"2155","Dominica","1984",
"2156","Dominican Republic","1984","11.5"
"2157","Ecuador","1984","12.2"
"2158","El Salvador","1984","357.2"
"2159","Grenada","1984","0.1"
"2160","Guatemala","1984",
"2161","Guyana","1984",
"2162","Haiti","1984","1.9"
"2163","Honduras","1984","140.7"
"2164","Jamaica","1984","7.6"
"2165","Mexico","1984","0.3"
"2166","Nicaragua","1984",
"2167","Panama","1984","24.5"
"2168","Paraguay","1984","0.1"
"2169","Peru","1984","19.4"
"2170","St. Kitts and Nevis","1984",
"2171","St. Lucia","1984",
"2172","St. Vincent and Grenadines","1984",
"2173","Suriname","1984",
"2174","Trinidad & Tobago","1984",
"2175","Uruguay","1984","0.2"
"2176","Venezuela","1984","0.1"
"2177","Antigua and Barbuda","1985",
"2178","Argentina","1985",
"2179","Bahamas, The","1985","0.1"
"2180","Barbados","1985","0.1"
"2181","Belize","1985","1.1"
"2182","Bolivia","1985","5.9"
"2183","Brazil","1985",
"2184","Chile","1985",
"2185","Colombia","1985","1.5"
"2186","Costa Rica","1985","19.8"
"2187","Dominica","1985",
"2188","Dominican Republic","1985","15.4"
"2189","Ecuador","1985","11.8"
"2190","El Salvador","1985","239.8"
"2191","Grenada","1985","0.1"
"2192","Guatemala","1985","0.8"
"2193","Guyana","1985",
"2194","Haiti","1985","1.3"
"2195","Honduras","1985","118.6"
"2196","Jamaica","1985","13.5"
"2197","Mexico","1985","0.4"
"2198","Nicaragua","1985",
"2199","Panama","1985","18.6"
"2200","Paraguay","1985","0.2"
"2201","Peru","1985","15.2"
"2202","St. Kitts and Nevis","1985",
"2203","St. Lucia","1985",
"2204","St. Vincent and Grenadines","1985",
"2205","Suriname","1985","0.1"
"2206","Trinidad & Tobago","1985","0.1"
"2207","Uruguay","1985","0.2"
"2208","Venezuela","1985","0.2"
"2209","Antigua and Barbuda","1986",
"2210","Argentina","1986",
"2211","Bahamas, The","1986","0.1"
"2212","Barbados","1986",
"2213","Belize","1986","0.9"
"2214","Bolivia","1986","2.7"
"2215","Brazil","1986",
"2216","Chile","1986",
"2217","Colombia","1986","7.3"
"2218","Costa Rica","1986","4.5"
"2219","Dominica","1986",
"2220","Dominican Republic","1986","7.8"
"2221","Ecuador","1986","7.8"
"2222","El Salvador","1986","209.5"
"2223","Grenada","1986",
"2224","Guatemala","1986","9.2"
"2225","Guyana","1986",
"2226","Haiti","1986","3.3"
"2227","Honduras","1986","105.2"
"2228","Jamaica","1986","13.7"
"2229","Mexico","1986","0.3"
"2230","Nicaragua","1986",
"2231","Panama","1986","14.1"
"2232","Paraguay","1986","0.2"
"2233","Peru","1986","1.1"
"2234","St. Kitts and Nevis","1986",
"2235","St. Lucia","1986",
"2236","St. Vincent and Grenadines","1986",
"2237","Suriname","1986","0.1"
"2238","Trinidad & Tobago","1986","0.1"
"2239","Uruguay","1986","0.2"
"2240","Venezuela","1986","0.2"
"2241","Antigua and Barbuda","1987",
"2242","Argentina","1987",
"2243","Bahamas, The","1987","0.1"
"2244","Barbados","1987",
"2245","Belize","1987","1"
"2246","Bolivia","1987","2"
"2247","Brazil","1987",
"2248","Chile","1987",
"2249","Colombia","1987","8.5"
"2250","Costa Rica","1987","2.9"
"2251","Dominica","1987",
"2252","Dominican Republic","1987","5.7"
"2253","Ecuador","1987","7.6"
"2254","El Salvador","1987","187"
"2255","Grenada","1987",
"2256","Guatemala","1987","9.2"
"2257","Guyana","1987",
"2258","Haiti","1987","2.2"
"2259","Honduras","1987","102.6"
"2260","Jamaica","1987","5.6"
"2261","Mexico","1987","0.4"
"2262","Nicaragua","1987",
"2263","Panama","1987","5.9"
"2264","Paraguay","1987","0.2"
"2265","Peru","1987","0.2"
"2266","St. Kitts and Nevis","1987",
"2267","St. Lucia","1987",
"2268","St. Vincent and Grenadines","1987",
"2269","Suriname","1987",
"2270","Trinidad & Tobago","1987","0.1"
"2271","Uruguay","1987","1.2"
"2272","Venezuela","1987","0.3"
"2273","Antigua and Barbuda","1988",
"2274","Argentina","1988","0.1"
"2275","Bahamas, The","1988","0.1"
"2276","Barbados","1988",
"2277","Belize","1988","0.5"
"2278","Bolivia","1988","0.7"
"2279","Brazil","1988","0.1"
"2280","Chile","1988",
"2281","Colombia","1988","6.5"
"2282","Costa Rica","1988","0.4"
"2283","Dominica","1988",
"2284","Dominican Republic","1988","2"
"2285","Ecuador","1988","1.1"
"2286","El Salvador","1988","132.5"
"2287","Grenada","1988",
"2288","Guatemala","1988","15.2"
"2289","Guyana","1988",
"2290","Haiti","1988","0.3"
"2291","Honduras","1988","67"
"2292","Jamaica","1988","0.5"
"2293","Mexico","1988","0.4"
"2294","Nicaragua","1988",
"2295","Panama","1988",
"2296","Paraguay","1988","0.2"
"2297","Peru","1988","0.7"
"2298","St. Kitts and Nevis","1988",
"2299","St. Lucia","1988",
"2300","St. Vincent and Grenadines","1988",
"2301","Suriname","1988","0"
"2302","Trinidad & Tobago","1988","0.1"
"2303","Uruguay","1988","0.2"
"2304","Venezuela","1988","0.2"
"2305","Antigua and Barbuda","1989",
"2306","Argentina","1989","0.2"
"2307","Bahamas, The","1989","0"
"2308","Barbados","1989","0.2"
"2309","Belize","1989","0.9"
"2310","Bolivia","1989","8.4"
"2311","Brazil","1989","0.2"
"2312","Chile","1989","0.1"
"2313","Colombia","1989","12.7"
"2314","Costa Rica","1989","0.4"
"2315","Dominica","1989",
"2316","Dominican Republic","1989","1.1"
"2317","Ecuador","1989","7.3"
"2318","El Salvador","1989","127.3"
"2319","Grenada","1989","0.1"
"2320","Guatemala","1989","14.7"
"2321","Guyana","1989","0.1"
"2322","Haiti","1989","0.2"
"2323","Honduras","1989","64.3"
"2324","Jamaica","1989","5.9"
"2325","Mexico","1989","0.4"
"2326","Nicaragua","1989",
"2327","Panama","1989",
"2328","Paraguay","1989","0.2"
"2329","Peru","1989","4.7"
"2330","St. Kitts and Nevis","1989",
"2331","St. Lucia","1989",
"2332","St. Vincent and Grenadines","1989",
"2333","Suriname","1989","0"
"2334","Trinidad & Tobago","1989","0.2"
"2335","Uruguay","1989","1"
"2336","Venezuela","1989","0.2"
"2337","Antigua and Barbuda","1990","1.2"
"2338","Argentina","1990","0.2"
"2339","Bahamas, The","1990","0.1"
"2340","Barbados","1990","1"
"2341","Belize","1990","0.9"
"2342","Bolivia","1990","71.6"
"2343","Brazil","1990","0.1"
"2344","Chile","1990",
"2345","Colombia","1990","140.7"
"2346","Costa Rica","1990","0.3"
"2347","Dominica","1990","1.1"
"2348","Dominican Republic","1990","3"
"2349","Ecuador","1990","6.3"
"2350","El Salvador","1990","122.3"
"2351","Grenada","1990","1"
"2352","Guatemala","1990","5"
"2353","Guyana","1990",
"2354","Haiti","1990","0.8"
"2355","Honduras","1990","31.9"
"2356","Jamaica","1990","9.5"
"2357","Mexico","1990","26.1"
"2358","Nicaragua","1990",
"2359","Panama","1990",
"2360","Paraguay","1990","0.3"
"2361","Peru","1990","1.7"
"2362","St. Kitts and Nevis","1990","0.8"
"2363","St. Lucia","1990","0.8"
"2364","St. Vincent and Grenadines","1990","0.8"
"2365","Suriname","1990",
"2366","Trinidad & Tobago","1990","1"
"2367","Uruguay","1990","0.3"
"2368","Venezuela","1990","0.2"
"2369","Antigua and Barbuda","1991","0.9"
"2370","Argentina","1991","5.8"
"2371","Bahamas, The","1991","0.2"
"2372","Barbados","1991","1.8"
"2373","Belize","1991","0.9"
"2374","Bolivia","1991","52.2"
"2375","Brazil","1991","0.1"
"2376","Chile","1991","4.8"
"2377","Colombia","1991","72.3"
"2378","Costa Rica","1991","0.5"
"2379","Dominica","1991","0.8"
"2380","Dominican Republic","1991","2.4"
"2381","Ecuador","1991","4.1"
"2382","El Salvador","1991","97.3"
"2383","Grenada","1991","1"
"2384","Guatemala","1991","0.6"
"2385","Guyana","1991","0.1"
"2386","Haiti","1991","2.4"
"2387","Honduras","1991","48.5"
"2388","Jamaica","1991","2.9"
"2389","Mexico","1991","1.3"
"2390","Nicaragua","1991",
"2391","Panama","1991",
